Geweke_Z_score,best_llh,best_post,best_pri,caset,disc,gen_e,gen_llh,gen_llh_with_model_e,gen_post,gen_pri,model_e,mx_f,mx_precision,mx_recall,n_genes,n_tumors,prog_f,prog_precision,prog_recall,spent_time,star_llh,star_post,star_pri,tree_depth,tree_idx,tree_size,w_mx_f,w_mx_precision,w_mx_recall,w_prog_f,w_prog_precision,w_prog_recall
0.143,-585.9181,-585.9181,0.0,0.003663003663003663,0.024725274725274724,0.02,-706.7055650166178,-577.298139997659,-706.7055650166178,0.0,0.023769889075571194,1.0,1.0,1.0,14.0,100.0,0.967741935483871,1.0,0.9375,17482.0,-696.6529,-696.6529,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.9991239097131396,1.0,0.9982493531509793
0.147,-1742.0692,-1742.0692,0.0,0.14065934065934066,0.14560439560439567,0.02,-2112.901809454106,-1742.8807126615977,-2112.901809454106,0.0,0.013788102156978604,1.0,1.0,1.0,14.0,300.0,0.75,0.75,0.75,51660.0,-2080.7395,-2080.7395,0.0,2.0,0.0,1.077,1.0,1.0,1.0,0.9699229881649801,0.959217847988866,0.9808697698610155
0.061,-24.2776,-24.2776,0.0,0.9123774509803921,0.7047940009337066,0.001,-56.7256435825937,-32.53016590977996,-56.7256435825937,0.0,0.0066713965274675015,0.0,0.0,0.0,17.0,10.0,0.10714285714285715,0.2727272727272727,0.06666666666666667,2544.0,-33.1439,-33.1439,0.0,3.0,1.0,2.067,0.0,0.0,0.0,0.03690450620153922,0.05462145054655461,0.027865943990793503
0.001,-75.1237,-75.1237,0.0,0.8556576626752059,0.6795111727129272,0.001,-181.3678035286723,-83.7045966113216,-181.3678035286723,0.0,0.000996574863345621,0.28571428571428575,0.6666666666666666,0.18181818181818182,19.0,30.0,0.12371134020618559,0.13953488372093023,0.1111111111111111,8096.0,-93.2585,-93.2585,0.0,3.0,1.0,2.067,0.6218710315636702,0.997605685898498,0.45173221728714447,0.0965453390465706,0.1499093441382122,0.07119993108249106
0.437,-295.8662,-295.8662,0.0,0.3711855836471217,0.5714472749472751,0.001,-815.0257750667051,-363.7269624485561,-815.0257750667051,0.0,0.0006077636735351348,0.4761904761904762,0.7142857142857143,0.35714285714285715,26.0,100.0,0.5315315315315315,0.44029850746268656,0.6704545454545454,32969.0,-465.7916,-465.7916,0.0,3.0,1.0,2.067,0.9658464979796001,0.9949920542381515,0.938359827091362,0.8339409358247258,0.7602399648957772,0.9234657220463341
0.157,-843.7025,-843.7025,0.0,0.1734658345769457,0.4422598492042941,0.001,-2504.0675534814313,-1459.1853507870667,-2504.0675534814313,0.0,0.0007639874658370299,0.5925925925925927,0.8,0.47058823529411764,27.0,300.0,0.7320261437908497,0.875,0.6292134831460674,90645.0,-1193.6152,-1193.6152,0.0,3.0,1.0,2.067,0.962552377637641,0.997071664329167,0.9303432724235946,0.9670935578896612,0.9890189676373532,0.9461191868011835
0.168,-37.0197,-37.0197,0.0,0.899749373433584,0.7271451988557258,0.01,-63.64889941151278,-40.11818645474505,-63.64889941151278,0.0,0.0014819809551328308,0.2,0.25,0.16666666666666666,19.0,10.0,0.028985507246376812,0.06666666666666667,0.018518518518518517,3421.0,-41.3135,-41.3135,0.0,3.0,1.0,2.067,0.17089278670737654,0.14436407855197686,0.2093665051602074,4.232614118523292e-05,0.00025924793877786284,2.304422986293006e-05
0.834,-95.1668,-95.1668,0.0,0.7022042992281091,0.7509330910124549,0.01,-255.81652794640746,-125.19411822268425,-255.81652794640746,0.0,0.0011983162975790483,0.08333333333333333,0.16666666666666666,0.05555555555555555,28.0,30.0,0.2893081761006289,0.3770491803278688,0.23469387755102042,10407.0,-154.3282,-154.3282,0.0,3.0,1.0,2.067,0.28093052985814915,0.4133162489620586,0.2127775958577032,0.7086389286330909,0.648456925185224,0.7811344725878434
0.409,-414.0734,-414.0734,0.0,0.6270334677080707,0.6433901783108131,0.01,-908.3124602103858,-584.1597497429912,-908.3124602103858,0.0,0.0010153344017761405,0.5333333333333333,0.6666666666666666,0.4444444444444444,28.0,100.0,0.44047619047619047,0.5211267605633803,0.38144329896907214,33696.0,-517.6604,-517.6604,0.0,3.0,1.0,2.067,0.8482251368245316,0.8405255894433646,0.8560670501425949,0.7965665122594985,0.7875012138861878,0.8058429510310348
0.34,-1176.2437,-1176.2437,0.0,0.3462837580579511,0.6235708556676319,0.01,-2765.9268099644805,-1194.658508746464,-2765.9268099644805,0.0,0.002027181710291825,0.26666666666666666,0.8,0.16,31.0,300.0,0.5979381443298969,0.7160493827160493,0.5132743362831859,106544.0,-1461.196,-1461.196,0.0,3.0,1.0,2.067,0.8546208976899492,0.9933651793094428,0.7498838854140296,0.9359846887032053,0.9468352239806003,0.9253800255496629
0.018,-37.5938,-37.5938,0.0,0.8905442176870749,0.728877465127464,0.02,-69.04766808914047,-47.20206454969204,-69.04766808914047,0.0,0.002370613827496033,0.0,0.0,0.0,21.0,10.0,0.14492753623188404,0.4166666666666667,0.08771929824561403,2893.0,-45.8825,-45.8825,0.0,3.0,1.0,2.067,0.0,0.0,0.0,0.3329307626742109,0.792469506607587,0.2107314205932123
0.408,-137.5546,-137.5546,0.0,0.8605128205128207,0.7013632478632489,0.02,-265.55667893720744,-210.51653777127126,-265.55667893720744,0.0,0.0018020119093335707,0.125,0.5,0.07142857142857142,26.0,30.0,0.06315789473684211,0.3,0.03529411764705882,9269.0,-155.4341,-155.4341,0.0,3.0,1.0,2.067,0.5377695529803329,0.9943368375309712,0.36854542522337075,0.05997080712879456,0.4287626844001906,0.03224010680384789
0.322,-539.2802,-539.2802,0.0,0.8725089605734766,0.7435791090629791,0.02,-942.28518600503,-478.5081409988248,-942.28518600503,0.0,0.005250940745819048,0.10526315789473685,0.15384615384615385,0.08,31.0,100.0,0.047619047619047616,0.23076923076923078,0.02654867256637168,34156.0,-556.9412,-556.9412,0.0,3.0,1.0,2.067,0.3222248114303399,0.4198796910127736,0.2614234139072472,0.021649049141654424,0.19646129894879438,0.011455705179179503
0.107,-1718.5908,-1718.5908,0.0,0.8575567502986857,0.6553122445057963,0.02,-2891.1913367705015,-1602.8638078346778,-2891.1913367705015,0.0,0.0043411157195609885,0.28571428571428575,0.5,0.2,31.0,300.0,0.1342281879194631,0.2777777777777778,0.08849557522123894,96211.0,-1761.3356,-1761.3356,0.0,3.0,1.0,2.067,0.6868400716113847,0.9329711648077502,0.5434659948261038,0.11174077751110242,0.46982200856365725,0.06341112586184264
0.231,-37.5109,-37.5109,0.0,0.6119825708061002,0.6254435107376284,0.001,-64.7991661491454,-33.432054690061626,-64.7991661491454,0.0,0.001241504282288063,0.0,0.0,0.0,18.0,10.0,0.24,0.2608695652173913,0.2222222222222222,2841.0,-47.3014,-47.3014,0.0,2.75,2.0,1.391,0.0,0.0,0.0,0.3678699163263034,0.24156229079301833,0.7710186785182069
0.173,-146.2514,-146.2514,0.0,0.3743537414965986,0.4647288359788354,0.001,-246.31452610989274,-160.9600111083279,-246.31452610989274,0.0,0.013995847258533449,0.6666666666666665,0.6,0.75,21.0,30.0,0.4383561643835616,0.38095238095238093,0.5161290322580645,8641.0,-209.1831,-209.1831,0.0,2.75,2.0,1.391,0.9019176014610052,0.8354809482227469,0.9798329924580287,0.5997331353233791,0.5080315876936233,0.7318313539999914
0.776,-442.667,-442.667,0.0,0.16304347826086962,0.23859126984126977,0.001,-858.0980243798753,-529.0295845760129,-858.0980243798753,0.0,0.0012332520444835846,0.8571428571428571,1.0,0.75,24.0,100.0,0.7710843373493976,0.7804878048780488,0.7619047619047619,32393.0,-664.7747,-664.7747,0.0,2.75,2.0,1.391,0.9913757840522835,1.0,0.982899050386941,0.928372098448779,0.9157254616541786,0.9413729400321792
0.215,-1355.1325,-1355.1325,0.0,0.16721781305114644,0.2984344102399657,0.001,-2887.360322248613,-1559.168997079718,-2887.360322248613,0.0,0.0006723453793685067,0.5714285714285714,0.5714285714285714,0.5714285714285714,28.0,300.0,0.688,0.6515151515151515,0.7288135593220338,109823.0,-2048.0611,-2048.0611,0.0,2.75,2.0,1.391,0.976261661666528,0.9669595022125327,0.9857445332952104,0.9898482737682661,0.9832889822549362,0.9964956639757683
0.015,-43.5776,-43.5776,0.0,0.2990253411306043,0.4765246449456981,0.01,-73.02527940370871,-56.505239134121666,-73.02527940370871,0.0,0.002333600527260537,0.0,0.0,0.0,19.0,10.0,0.4081632653061224,0.5263157894736842,0.3333333333333333,3014.0,-55.5313,-55.5313,0.0,2.75,2.0,1.391,0.0,0.0,0.0,0.6039423502263879,0.669783683702256,0.5498871335699556
1.08,-194.5482,-194.5482,0.0,0.3403337403337403,0.5931149097815764,0.01,-283.6883975855817,-156.6270100426775,-283.6883975855817,0.0,0.0008402384842082884,0.25,1.0,0.14285714285714285,27.0,30.0,0.0923076923076923,0.2727272727272727,0.05555555555555555,11895.0,-219.6824,-219.6824,0.0,2.75,2.0,1.391,0.47929853530539485,1.0,0.31518253018954645,0.07673469077554661,0.333919906775844,0.04334802694638051
1.118,-532.8756,-532.8756,0.0,0.32071638039379974,0.48556013039379997,0.01,-1060.5500658541196,-543.7304679363068,-1060.5500658541196,0.0,0.0010858011632894637,0.4210526315789474,0.4444444444444444,0.4,32.0,100.0,0.4028776978417266,0.4827586206896552,0.345679012345679,40979.0,-727.0586,-727.0586,0.0,2.75,2.0,1.391,0.8642942925472105,0.8001838485590855,0.9395725059529795,0.9040860477796507,0.9088975806569282,0.8993251893419433
0.621,-1699.5746,-1699.5746,0.0,0.258635752688172,0.3865143732835264,0.01,-3195.7595877095673,-1688.1388561937815,-3195.7595877095673,0.0,0.002821423946131933,0.5,0.5,0.5,32.0,300.0,0.5467625899280575,0.6551724137931034,0.4691358024691358,115353.0,-2254.776,-2254.776,0.0,2.75,2.0,1.391,0.958677696292002,0.9471622270353904,0.9704766187452339,0.9528428734833377,0.942441240995823,0.9634766719805749
0.377,-70.8022,-70.8022,0.0,0.6880089717046239,0.6217901713825637,0.02,-110.46174339655865,-100.4169153896615,-110.46174339655865,0.0,0.016398419966726908,0.4,0.5,0.3333333333333333,24.0,10.0,0.36893203883495146,0.30158730158730157,0.475,2463.0,-104.3565,-104.3565,0.0,2.75,2.0,1.391,0.6971163000778967,0.7586295076245313,0.6448304492648658,0.46932013336753636,0.3766817891030171,0.6223848876338854
0.538,-159.93,-159.93,0.0,0.3810699588477367,0.6115542893320697,0.02,-294.5466408695905,-210.39617933846236,-294.5466408695905,0.0,0.0014739680715919925,0.2,0.25,0.16666666666666666,27.0,30.0,0.23655913978494625,0.2894736842105263,0.2,10136.0,-230.1037,-230.1037,0.0,2.75,2.0,1.391,0.2549284596461156,0.36113719413574374,0.19699358223305438,0.6361712933571351,0.6166232271425431,0.6569993555177522
1.464,-644.0147,-644.0147,0.0,0.2977572964669739,0.5086478067929685,0.02,-1081.9186308263509,-694.4656592934499,-1081.9186308263509,0.0,0.0010175864414713458,0.2105263157894737,0.2222222222222222,0.2,31.0,100.0,0.4482758620689656,0.6190476190476191,0.35135135135135137,33604.0,-827.9329,-827.9329,0.0,2.75,2.0,1.391,0.7236870236137339,0.6212707499039364,0.8665350314680993,0.8820813782643067,0.9243850331840286,0.8434802580728589
0.206,-2009.5363,-2009.5363,0.0,0.3519825268817204,0.4948016673067083,0.02,-3279.629841783747,-1959.1259140125178,-3279.629841783747,0.0,0.005509491689538053,0.33333333333333337,1.0,0.2,32.0,300.0,0.32727272727272727,0.6206896551724138,0.2222222222222222,115927.0,-2453.0347,-2453.0347,0.0,2.75,2.0,1.391,0.36312174089702604,1.0,0.2218379643554069,0.8282464020645519,0.8406187697230679,0.8162329489944042
0.002,-40.0826,-40.0826,0.0,0.4636716791979947,0.6973297827903102,0.001,-76.24095386226301,-46.40823293175343,-76.24095386226301,0.0,0.0034816674357101224,0.2,0.5,0.125,20.0,10.0,0.4788732394366197,0.68,0.3695652173913043,3331.0,-44.651,-44.651,0.0,2.371,3.0,2.692,0.7257449360351796,0.8364400670052549,0.6409244891580955,0.7591547409589298,0.8926939983736879,0.6603692457523244
0.151,-140.6085,-140.6085,0.0,0.6337662337662336,0.7158986275869397,0.001,-246.5461850369408,-148.55668908423857,-246.5461850369408,0.0,0.0008346042077932114,0.47058823529411764,0.8,0.3333333333333333,22.0,30.0,0.5210084033613446,0.4626865671641791,0.5961538461538461,9650.0,-183.1376,-183.1376,0.0,2.371,3.0,2.692,0.9564893183575841,0.9991026362120666,0.917362353671599,0.7221139281351197,0.6577633819280025,0.8004210069545582
0.296,-521.0144,-521.0144,0.0,0.29507699401852644,0.45132529880513805,0.001,-1148.822360078092,-686.2282352022874,-1148.822360078092,0.0,0.0027430968820712095,0.6,0.7894736842105263,0.4838709677419355,32.0,100.0,0.6846846846846847,0.6440677966101694,0.7307692307692307,33831.0,-739.0456,-739.0456,0.0,2.371,3.0,2.692,0.9369981885056867,0.9393847183561802,0.9346237540015699,0.9345436067575588,0.9360649980199343,0.9330271529204693
0.508,-1549.5017,-1549.5017,0.0,0.18756973863925752,0.2723309617694646,0.001,-3369.216531057983,-1687.9029198060414,-3369.216531057983,0.0,0.0005977476294278731,0.7812500000000001,0.9259259259259259,0.6756756756756757,34.0,300.0,0.8235294117647058,0.7142857142857143,0.9722222222222222,99950.0,-2139.0336,-2139.0336,0.0,2.371,3.0,2.692,0.9897243574033704,0.9926985640740384,0.98676791943258,0.9645719961163015,0.9330176512208962,0.9983353642182903
0.107,-44.4517,-44.4517,0.0,0.7125465178096757,0.7511009214956589,0.01,-74.05216047358061,-51.45333067318172,-74.05216047358061,0.0,0.01368104061899987,0.13333333333333333,0.2,0.1,19.0,10.0,0.3870967741935484,0.48,0.32432432432432434,2539.0,-65.5488,-65.5488,0.0,2.371,3.0,2.692,0.06928611047647448,0.19765018930219466,0.042005562917003435,0.5739038278144027,0.541008814084731,0.6110580524827232
0.927,-153.7622,-153.7622,0.0,0.7946602779936115,0.7549925936678071,0.01,-293.6388088493861,-190.2202991442226,-293.6388088493861,0.0,0.0023732039828169562,0.08333333333333333,0.3333333333333333,0.047619047619047616,27.0,30.0,0.4473684210526316,0.4358974358974359,0.4594594594594595,10109.0,-214.4523,-214.4523,0.0,2.371,3.0,2.692,0.7233493749567119,0.9336217254344925,0.5903821916382052,0.7201862767861995,0.6498460217062703,0.8076022945924034
0.471,-610.5337,-610.5337,0.0,0.2524095037464021,0.41268931355830046,0.01,-1180.1279482535022,-710.2128373428317,-1180.1279482535022,0.0,0.0006973408716175155,0.6071428571428572,0.8947368421052632,0.4594594594594595,34.0,100.0,0.7499999999999999,0.8152173913043478,0.6944444444444444,35771.0,-824.0841,-824.0841,0.0,2.371,3.0,2.692,0.9408099036456086,0.9516953091291293,0.9301706947682361,0.9222520687547886,0.9626833211614898,0.8850800376060532
0.518,-1849.3309,-1849.3309,0.0,0.284269525992215,0.47402147016766566,0.01,-3544.6581083873502,-1868.125600866248,-3544.6581083873502,0.0,0.0031839290665294034,0.5625,0.782608695652174,0.43902439024390244,35.0,300.0,0.6609442060085837,0.6363636363636364,0.6875,97739.0,-2415.1901,-2415.1901,0.0,2.371,3.0,2.692,0.9468334992160422,0.969422576389437,0.9252731728757911,0.9493542792761657,0.9532686115153732,0.9454719618090115
0.267,-41.6368,-41.6368,0.0,0.6245614035087719,0.8193889078757514,0.02,-78.21175235014417,-65.67710865509916,-78.21175235014417,0.0,0.001437717336033246,0.0,0.0,0.0,20.0,10.0,0.03389830508474576,0.09090909090909091,0.020833333333333332,2145.0,-53.5339,-53.5339,0.0,2.371,3.0,2.692,0.0,0.0,0.0,0.17032626731110756,0.2616406791554643,0.12626048297265088
0.806,-207.1208,-207.1208,0.0,0.41315253374076905,0.642264266729507,0.02,-359.99790912257436,-221.60911293735037,-359.99790912257436,0.0,0.004666904501063273,0.339622641509434,0.6428571428571429,0.23076923076923078,34.0,30.0,0.5240641711229946,0.620253164556962,0.4537037037037037,13568.0,-255.6683,-255.6683,0.0,2.371,3.0,2.692,0.8984831968117013,0.9867580746286959,0.8247054635443274,0.753852541181016,0.8310596233984106,0.6897714130642553
1.159,-710.0232,-710.0232,0.0,0.3375114661249117,0.6257654343788803,0.02,-1231.3145896359306,-755.5479851794138,-1231.3145896359306,0.0,0.002944307736078095,0.24,0.6666666666666666,0.14634146341463414,35.0,100.0,0.599078341013825,0.6190476190476191,0.5803571428571429,39003.0,-890.5719,-890.5719,0.0,2.371,3.0,2.692,0.7613997638642772,0.9323965303270064,0.6434029462426025,0.8645461113135955,0.8927575822426679,0.8380630091917939
0.444,-2411.58,-2411.58,0.0,0.1919942522463533,0.3897476426468024,0.02,-3758.8291246079007,-2391.7463958470635,-3758.8291246079007,0.0,0.007529328349936035,0.6153846153846153,0.8333333333333334,0.4878048780487805,35.0,300.0,0.7114624505928854,0.6382978723404256,0.8035714285714286,103371.0,-2837.303,-2837.303,0.0,2.371,3.0,2.692,0.9273703453586519,0.9590635329971385,0.8977048162195067,0.9385235468641563,0.938201084004795,0.9388462314628628
0.325,-74.4806,-74.4806,0.0,0.44883040935672514,0.7330206586785528,0.001,-98.90057491581204,-81.97587748555004,-98.90057491581204,0.0,0.04545850327374764,0.2727272727272727,1.0,0.15789473684210525,19.0,10.0,0.25,0.2916666666666667,0.21875,2803.0,-89.4636,-89.4636,0.0,1.781,4.0,3.556,0.5018270588670669,1.0,0.33495936623149813,0.3651070351372489,0.4520816066289884,0.3061984663858678
0.525,-202.6929,-202.6929,0.0,0.3830740113348807,0.623321269109312,0.001,-357.05784906688916,-291.1622495878161,-357.05784906688916,0.0,0.010452365142705151,0.32558139534883723,0.5,0.2413793103448276,24.0,30.0,0.4770642201834862,0.38235294117647056,0.6341463414634146,9344.0,-252.5479,-252.5479,0.0,1.781,4.0,3.556,0.6859765808799683,0.6615953859536471,0.712223530443916,0.840325582742356,0.7894699148230973,0.8981843621514226
0.414,-730.0278,-730.0278,0.0,0.267195174830643,0.372389074390306,0.001,-1399.0538883604088,-1109.5517600923986,-1399.0538883604088,0.0,0.0043131093690164145,0.7654320987654321,0.9393939393939394,0.6458333333333334,29.0,100.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,26860.0,-932.8297,-932.8297,0.0,1.781,4.0,3.556,0.9671649887764122,0.9747645036331279,0.9596830527906046,0.8899571962403507,0.8912821249059244,0.8886362008530584
0.277,-2316.7433,-2316.7433,0.0,0.12795698924731186,0.1622791038113613,0.001,-3808.493610825934,-2701.2856798212633,-3808.493610825934,0.0,0.004682651613902954,0.9243697478991596,0.9016393442622951,0.9482758620689655,31.0,300.0,0.7837837837837838,0.7435897435897436,0.8285714285714286,76284.0,-2965.451,-2965.451,0.0,1.781,4.0,3.556,0.9932157188433431,0.988477194094027,0.9979998931487853,0.9640573864484632,0.9556146366098867,0.9726506475634666
0.335,-56.803,-56.803,0.0,0.8200956937799044,0.7451361666273938,0.01,-91.63598665917522,-75.07761991121252,-91.63598665917522,0.0,0.0017314647517025002,0.34782608695652173,0.4444444444444444,0.2857142857142857,19.0,10.0,0.39344262295081966,0.35294117647058826,0.4444444444444444,2550.0,-80.1391,-80.1391,0.0,1.781,4.0,3.556,0.5855806288792816,0.6676556418660625,0.5214755567323947,0.5122060842091972,0.38493013980470303,0.7652254965117711
0.744,-267.7271,-267.7271,0.0,0.43592327213016885,0.5805318125361222,0.01,-426.69334427131554,-364.7057666426214,-426.69334427131554,0.0,0.004619344313956719,0.5866666666666666,0.8148148148148148,0.4583333333333333,29.0,30.0,0.2258064516129032,0.22950819672131148,0.2222222222222222,10510.0,-317.4111,-317.4111,0.0,1.781,4.0,3.556,0.8314997686353054,0.9414761689665812,0.7445292726747836,0.4876362796192933,0.5201802441452199,0.4589246409095674
0.363,-863.5768,-863.5768,0.0,0.16090389784946232,0.3008143206479915,0.01,-1301.3878820553387,-873.239325598771,-1301.3878820553387,0.0,0.005578465906431007,0.8571428571428572,0.85,0.864406779661017,32.0,100.0,0.7183098591549296,0.75,0.6891891891891891,31981.0,-1039.1751,-1039.1751,0.0,1.781,4.0,3.556,0.931723630017458,0.9303952473427747,0.9330558113434494,0.8390994471760806,0.8502086692004025,0.8282767971950032
0.198,-2543.6534,-2543.6534,0.0,0.18373088604943452,0.3002219661597623,0.01,-3858.727079670384,-2548.6245815767893,-3858.727079670384,0.0,0.0036524135533730464,0.7619047619047619,0.8695652173913043,0.6779661016949152,32.0,300.0,0.7894736842105263,0.7692307692307693,0.8108108108108109,77306.0,-3096.3793,-3096.3793,0.0,1.781,4.0,3.556,0.9717747872249674,0.9794108248928567,0.9642568980938439,0.9771841326537642,0.9699492401219685,0.9845277670363024
0.211,-95.8009,-95.8009,0.0,0.5004329004329005,0.831454956779631,0.02,-116.68441984091123,-100.98865414990807,-116.68441984091123,0.0,0.036445345722794106,0.0625,0.125,0.041666666666666664,22.0,10.0,0.04,0.1111111111111111,0.024390243902439025,3067.0,-105.8548,-105.8548,0.0,1.781,4.0,3.556,0.10848298537456097,0.16243170324299633,0.08143563080598909,0.07754151136899962,0.1291268040393831,0.055406847276767146
0.133,-250.9783,-250.9783,0.0,0.4585926419259752,0.7476710679091635,0.02,-440.045187994207,-426.86726811711617,-440.045187994207,0.0,0.001095087743506508,0.23728813559322035,0.6363636363636364,0.14583333333333334,28.0,30.0,0.20408163265306126,0.20833333333333334,0.2,8807.0,-316.5564,-316.5564,0.0,1.781,4.0,3.556,0.7128196779320578,0.8681715070131563,0.6046268924169582,0.23134177271607673,0.27625941833232404,0.19898788157782574
0.183,-892.0844,-892.0844,0.0,0.23935931899641588,0.32699921885909755,0.02,-1311.7548446320047,-903.690430647967,-1311.7548446320047,0.0,0.007923578694325353,0.76,0.926829268292683,0.6440677966101694,32.0,100.0,0.5962732919254659,0.5517241379310345,0.6486486486486487,28480.0,-1074.075,-1074.075,0.0,1.781,4.0,3.556,0.9249790965232733,0.9817251493893533,0.8744346879760463,0.8589628784816999,0.8550338402815999,0.8629281926871524
0.522,-2759.8235,-2759.8235,0.0,0.19327705422344896,0.28735241548260315,0.02,-3935.0770846372884,-2760.250071594673,-3935.0770846372884,0.0,0.008298939518579766,0.7543859649122807,0.7818181818181819,0.7288135593220338,32.0,300.0,0.7612903225806451,0.7283950617283951,0.7972972972972973,74269.0,-3247.9379,-3247.9379,0.0,1.781,4.0,3.556,0.9480604402803997,0.9515532111588003,0.944593216754982,0.9623688565873924,0.9549644115050556,0.969889021642966
0.334,-73.1404,-73.1404,0.0,0.8955396825396826,0.6186990740740745,0.001,-112.48195173593753,-74.30459022435939,-112.48195173593753,0.0,0.0021139122975215503,0.25,0.2,0.3333333333333333,25.0,10.0,0.22950819672131148,0.16470588235294117,0.3783783783783784,4528.0,-107.7447,-107.7447,0.0,2.889,5.0,1.161,0.48661636492683696,0.44623729496616954,0.5350301090196665,0.4193478947748673,0.31347186950699285,0.6332196534603306
0.063,-218.6988,-218.6988,0.0,0.31750672043010747,0.4394373967206632,0.001,-369.28826624963887,-203.05939196026785,-369.28826624963887,0.0,0.001637120750965177,0.5,0.5,0.5,32.0,30.0,0.5693430656934307,0.5131578947368421,0.639344262295082,15639.0,-360.7263,-360.7263,0.0,2.889,5.0,1.161,0.6996086501629661,0.9606317182433192,0.5501277997906342,0.7544782387273671,0.71628937886381,0.7969684933747787
1.122,-740.9698,-740.9698,0.0,0.13485008818342153,0.1984794658604184,0.001,-1338.6136008961844,-723.4945185682589,-1338.6136008961844,0.0,0.0020039259158123597,1.0,1.0,1.0,36.0,100.0,0.7483870967741936,0.7532467532467533,0.7435897435897436,48783.0,-1234.4415,-1234.4415,0.0,2.889,5.0,1.161,1.0,1.0,1.0,0.9593680104999732,0.9723324111327337,0.9467447774864716
